log,label
mod_jk child workerEnv in error state 7,Suspicious Activity
connection from 211.72.151.162 () at Wed Jul  6 18:00:56 2005,Normal Activity
mod_jk child workerEnv in error state 6,Suspicious Activity
"Read out cached package applicability for package: Package_for_KB2729094~31bf3856ad364e35~amd64~~6.1.2.0, ApplicableState: 112, CurrentState:112",Normal Activity
Failed password for root from 187.141.143.180 port 44328 ssh2,Brute Force Attack
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root,Brute Force Attack
jk2_init() Found child 32762 in scoreboard slot 9,Normal Activity
Invalid user support from 103.99.0.122,Brute Force Attack
Session: 30546174_101272799 initialized by client WindowsUpdateAgent.,Normal Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180,Brute Force Attack
Session: 30546354_3337823093 initialized by client WindowsUpdateAgent.,Normal Activity
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
malware activity detected in system file,Malware Activity
session closed for user cyrus,Brute Force Attack
Warning: Unrecognized packageExtended attribute.,Normal Activity
reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!,Brute Force Attack
Session: 30546354_2959411449 initialized by client WindowsUpdateAgent.,Normal Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,Brute Force Attack
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
connection from 67.95.49.172 () at Fri Jul 22 19:29:09 2005,Normal Activity
SQM: Failed to start standard sample upload. [HRESULT = 0x80004005 - E_FAIL],Normal Activity
jk2_init() Found child 32637 in scoreboard slot 7,Normal Activity
connection from 203.101.45.59 (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul 17 15:09:15 2005,Normal Activity
trojan activity detected on host,Malware Activity
elevated privileges granted to unauthorized user root,Privilege Escalation
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220.117.241.87  user=root,Brute Force Attack
jk2_init() Found child 5877 in scoreboard slot 9,Normal Activity
jk2_init() Found child 6033 in scoreboard slot 6,Normal Activity
connection from 211.167.68.59 () at Sat Jul  9 12:16:49 2005,Normal Activity
"Read out cached package applicability for package: Package_for_KB2853952~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 112, CurrentState:112",Normal Activity
TrustedInstaller service starts successfully.,Normal Activity
jk2_init() Found child 4596 in scoreboard slot 8,Normal Activity
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
jk2_init() Found child 32650 in scoreboard slot 8,Normal Activity
Scavenge: Begin CSI Store,Normal Activity
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,Brute Force Attack
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=202-132-40-29.adsl.ttn.net  user=root,Brute Force Attack
Invalid user boot from 183.62.140.253,Brute Force Attack
Received disconnect from 187.141.143.180: 11: Bye Bye [preauth],Brute Force Attack
input_userauth_request: invalid user sandeep [preauth],Brute Force Attack
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,Brute Force Attack
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,Brute Force Attack
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
connection from 82.68.222.194 (82-68-222-194.dsl.in-addr.zen.co.uk) at Sun Jul 17 21:23:20 2005,Normal Activity
Session: 30546354_2999883764 initialized by client WindowsUpdateAgent.,Normal Activity
malware activity detected in system file,Malware Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,Brute Force Attack
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=207.243.167.114  user=root,Brute Force Attack
malware activity detected in system file,Malware Activity
user user1 executed sudo command with elevated privileges,Privilege Escalation
"Read out cached package applicability for package: Package_for_KB2798162~31bf3856ad364e35~amd64~~6.1.1.5, ApplicableState: 80, CurrentState:112",Normal Activity
connection from 82.68.222.194 (82-68-222-194.dsl.in-addr.zen.co.uk) at Sun Jul 17 21:23:20 2005,Normal Activity
session opened for user test by (uid=509),Brute Force Attack
Session: 30546354_3298080820 initialized by client WindowsUpdateAgent.,Normal Activity
"Read out cached package applicability for package: Package_for_KB2607047~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 0, CurrentState:0",Normal Activity
session opened for user root by LOGIN(uid=0),Normal Activity
"Read out cached package applicability for package: Microsoft-Windows-Embedded-EmbeddedLockdown-Package-TopLevel~31bf3856ad364e35~amd64~~7.1.7601.16511, ApplicableState: 112, CurrentState:0",Normal Activity
Received disconnect from 187.141.143.180: 11: Bye Bye [preauth],Brute Force Attack
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,Brute Force Attack
Failed password for invalid user test2 from 187.141.143.180 port 48023 ssh2,Brute Force Attack
Failed password for root from 187.141.143.180 port 35172 ssh2,Brute Force Attack
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
mod_jk child workerEnv in error state 6,Suspicious Activity
Session: 30546354_3208475695 initialized by client WindowsUpdateAgent.,Normal Activity
error: Received disconnect from 103.99.0.122: 14: No more user authentication methods available. [preauth],Brute Force Attack
"Read out cached package applicability for package: Package_for_KB3006137~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112",Normal Activity
connection from 211.107.232.1 () at Sun Jul 24 13:46:32 2005,Normal Activity
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
suspicious malware process detected,Malware Activity
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=60.30.224.116  user=root,Brute Force Attack
Warning: Unrecognized packageExtended attribute.,Normal Activity
infected file detected during security scan,Malware Activity
infected file detected during security scan,Malware Activity
"Read out cached package applicability for package: Package_for_KB2973351~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 112, CurrentState:112",Normal Activity
elevated privileges granted to unauthorized user root,Privilege Escalation
connection from 203.101.45.59 (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 10:05:25 2005,Normal Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,Brute Force Attack
pam_unix(sshd:auth): check pass; user unknown,Brute Force Attack
mod_jk child workerEnv in error state 6,Suspicious Activity
jk2_init() Found child 1395 in scoreboard slot 10,Normal Activity
Failed password for root from 187.141.143.180 port 45696 ssh2,Brute Force Attack
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
Warning: Unrecognized packageExtended attribute.,Normal Activity
Unloading offline registry hive: {bf1a281b-ad7b-4476-ac95-f47682990ce7}GLOBALROOT/Device/HarddiskVolumeShadowCopy2/Windows/System32/config/SYSTEM,Normal Activity
elevated privileges granted to unauthorized user unknown,Privilege Escalation
jk2_init() Found child 4821 in scoreboard slot 10,Normal Activity
mod_jk child workerEnv in error state 7,Suspicious Activity
Session: 30546354_3345633540 initialized by client WindowsUpdateAgent.,Normal Activity
ALERT exited abnormally with [1],Brute Force Attack
Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],Brute Force Attack
mod_jk child workerEnv in error state 6,Suspicious Activity
mod_jk child workerEnv in error state 6,Suspicious Activity
user admin gained administrative privileges,Privilege Escalation
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
jk2_init() Found child 1396 in scoreboard slot 6,Normal Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,Brute Force Attack
virus scan detected malicious executable,Malware Activity
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
mod_jk child workerEnv in error state 6,Suspicious Activity
Warning: Unrecognized packageExtended attribute.,Normal Activity
Warning: Unrecognized packageExtended attribute.,Normal Activity
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
check pass; user unknown,Brute Force Attack
root privileges obtained by user unknown,Privilege Escalation
infected file detected during security scan,Malware Activity
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
"Read out cached package applicability for package: Package_for_KB3067904~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 80, CurrentState:0",Normal Activity
connection from 82.83.227.67 (dsl-082-083-227-067.arcor-ip.net) at Sun Jul 10 07:24:24 2005,Normal Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
malicious file detected on system,Malware Activity
Failed password for invalid user admin from 185.190.58.151 port 49948 ssh2,Brute Force Attack
Session: 30546354_3175093786 initialized by client WindowsUpdateAgent.,Normal Activity
connection from 206.47.209.10 () at Mon Jul 25 06:39:18 2005,Normal Activity
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
jk2_init() Found child 2004 in scoreboard slot 6,Normal Activity
mod_jk child workerEnv in error state 7,Suspicious Activity
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=217.60.212.66  user=guest,Brute Force Attack
check pass; user unknown,Brute Force Attack
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
Session: 30546174_157616022 initialized by client WindowsUpdateAgent.,Normal Activity
sudo access used by unauthorized account user1,Privilege Escalation
jk2_init() Found child 32390 in scoreboard slot 8,Normal Activity
reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!,Brute Force Attack
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
mod_jk child workerEnv in error state 6,Suspicious Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!,Brute Force Attack
malware activity detected in system file,Malware Activity
check pass; user unknown,Brute Force Attack
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
sudo access used by unauthorized account user1,Privilege Escalation
Failed password for root from 60.2.12.12 port 10217 ssh2,Brute Force Attack
mod_jk child workerEnv in error state 6,Suspicious Activity
mod_jk child workerEnv in error state 6,Suspicious Activity
connection from 221.4.102.93 () at Thu Jul  7 23:09:47 2005,Normal Activity
Session: 30546174_185317606 initialized by client WindowsUpdateAgent.,Normal Activity
Session: 30546354_3196675020 initialized by client WindowsUpdateAgent.,Normal Activity
mod_jk child workerEnv in error state 6,Suspicious Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
user user1 gained administrative privileges,Privilege Escalation
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
Session: 30546174_18178046 initialized by client WindowsUpdateAgent.,Normal Activity
pam_unix(sshd:auth): check pass; user unknown,Brute Force Attack
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
pam_unix(sshd:auth): check pass; user unknown,Brute Force Attack
ALERT exited abnormally with [1],Normal Activity
jk2_init() Found child 5271 in scoreboard slot 7,Normal Activity
Did not receive identification string from 188.132.244.89,Brute Force Attack
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
Invalid user sandeep from 88.147.143.242,Brute Force Attack
connection from 84.102.20.2 () at Sun Jul 24 02:38:22 2005,Normal Activity
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
check pass; user unknown,Brute Force Attack
Session: 30546354_3218366261 initialized by client WindowsUpdateAgent.,Normal Activity
jk2_init() Found child 352 in scoreboard slot 11,Normal Activity
connection from 210.223.97.117 () at Wed Jun 29 14:44:35 2005,Suspicious Activity
connection from 203.101.45.59 (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 10:05:25 2005,Normal Activity
unauthorized privilege escalation detected for user unknown,Privilege Escalation
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=202.100.179.208,Brute Force Attack
jk2_init() Found child 6340 in scoreboard slot 6,Normal Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
session closed for user test,Normal Activity
sudo access used by unauthorized account admin,Privilege Escalation
jk2_init() Found child 1900 in scoreboard slot 8,Normal Activity
connection from 216.12.111.241 () at Thu Jul 21 09:04:41 2005,Normal Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root,Brute Force Attack
elevated privileges granted to unauthorized user unknown,Privilege Escalation
connection from 67.95.49.172 () at Fri Jul 22 19:29:09 2005,Normal Activity
"Read out cached package applicability for package: Package_for_KB3092627~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112",Normal Activity
mod_jk child workerEnv in error state 6,Suspicious Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
pam_unix(sshd:auth): check pass; user unknown,Brute Force Attack
jk2_init() Found child 2838 in scoreboard slot 10,Normal Activity
connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,Suspicious Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=185.190.58.151,Brute Force Attack
Failed password for root from 187.141.143.180 port 53589 ssh2,Brute Force Attack
"Read out cached package applicability for package: Package_for_KB2506212~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 112, CurrentState:112",Normal Activity
Warning: Unrecognized packageExtended attribute.,Normal Activity
Received disconnect from 187.141.143.180: 11: Bye Bye [preauth],Brute Force Attack
jk2_init() Found child 6055 in scoreboard slot 8,Normal Activity
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=p15105218.pureserver.info  user=root,Brute Force Attack
session opened for user cyrus by (uid=0),Normal Activity
malicious payload detected on system,Malware Activity
suspicious malware process detected,Malware Activity
Session: 30546354_3215266083 initialized by client WindowsUpdateAgent.,Normal Activity
mod_jk child workerEnv in error state 6,Suspicious Activity
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,Brute Force Attack
malicious file detected on system,Malware Activity
trojan activity detected on host,Malware Activity
Authentication failed from 163.27.187.39 (163.27.187.39): Software caused connection abort,Normal Activity
infected file detected during security scan,Malware Activity
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
jk2_init() Found child 6315 in scoreboard slot 6,Normal Activity
Session: 30546174_18398059 initialized by client WindowsUpdateAgent.,Normal Activity
jk2_init() Found child 4975 in scoreboard slot 6,Normal Activity
"Read out cached package applicability for package: Package_for_KB3072630~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 80, CurrentState:112",Normal Activity
PAM 4 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=185.190.58.151,Brute Force Attack
Failed password for root from 183.62.140.253 port 39008 ssh2,Brute Force Attack
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=5.188.10.180,Brute Force Attack
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=217.60.212.66  user=guest,Brute Force Attack
mod_jk child workerEnv in error state 7,Suspicious Activity
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220.117.241.87  user=root,Brute Force Attack
malicious file detected on system,Malware Activity
Failed to internally open package. [HRESULT = 0x800f0805 - CBS_E_INVALID_PACKAGE],Normal Activity
Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],Brute Force Attack
mod_jk child workerEnv in error state 7,Suspicious Activity
Session: 30546354_3041116122 initialized by client WindowsUpdateAgent.,Normal Activity
connection from 202.82.200.188 () at Fri Jul  1 07:57:30 2005,Normal Activity
unauthorized privilege escalation detected for user admin,Privilege Escalation
"Read out cached package applicability for package: Package_for_KB3037574~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112",Normal Activity
connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,Brute Force Attack
Received disconnect from 60.2.12.12: 11: Bye Bye [preauth],Brute Force Attack
Failed password for root from 183.62.140.253 port 39410 ssh2,Brute Force Attack
Session: 30546354_3312101622 initialized by client WindowsUpdateAgent.,Normal Activity
Failed password for root from 183.62.140.253 port 35021 ssh2,Brute Force Attack
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=123.235.32.19  user=root,Brute Force Attack
SQM: Warning: Failed to upload all unsent reports. [HRESULT = 0x80004005 - E_FAIL],Normal Activity
connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:12 2005,Normal Activity
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
trojan activity detected on host,Malware Activity
reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!,Brute Force Attack
check pass; user unknown,Brute Force Attack
connection from 83.116.207.11 (aml-sfh-3310b.adsl.wanadoo.nl) at Sun Jul 17 04:06:32 2005,Normal Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
input_userauth_request: invalid user admin [preauth],Brute Force Attack
session opened for user test by (uid=509),Normal Activity
"Read out cached package applicability for package: Package_for_KB3059317~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112",Normal Activity
connection from 62.99.164.82 (62.99.164.82.sh.interxion.inode.at) at Sun Jul  3 23:16:09 2005,Normal Activity
jk2_init() Found child 5430 in scoreboard slot 6,Normal Activity
Failed password for root from 183.62.140.253 port 54049 ssh2,Brute Force Attack
Session: 30546174_131324518 initialized by client WindowsUpdateAgent.,Normal Activity
Session: 30546174_147205426 initialized by client WindowsUpdateAgent.,Normal Activity
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
connection from 172.181.208.156 () at Tue Jul 26 05:47:51 2005,Suspicious Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root,Brute Force Attack
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.9.58.217  user=root,Brute Force Attack
root privileges obtained by user user1,Privilege Escalation
input_userauth_request: invalid user deploy [preauth],Brute Force Attack
jk2_init() Found child 6748 in scoreboard slot 6,Normal Activity
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
Session: 30546354_2986142978 initialized by client WindowsUpdateAgent.,Normal Activity
"Read out cached package applicability for package: Package_for_KB2972211~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112",Normal Activity
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=h64-187-1-131.gtconnect.net  user=root,Brute Force Attack
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=h64-187-1-131.gtconnect.net  user=root,Brute Force Attack
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=zummit.com,Brute Force Attack
Failed password for root from 183.62.140.253 port 49567 ssh2,Brute Force Attack
session closed for user test,Brute Force Attack
BIOS-provided physical RAM map:,Normal Activity
"Read out cached package applicability for package: Package_for_KB2773072~31bf3856ad364e35~amd64~~6.1.1.5, ApplicableState: 112, CurrentState:112",Normal Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.",Normal Activity
jk2_init() Found child 5878 in scoreboard slot 6,Normal Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,Brute Force Attack
pam_unix(sshd:auth): check pass; user unknown,Brute Force Attack
jk2_init() Found child 32593 in scoreboard slot 8,Normal Activity
jk2_init() Found child 5790 in scoreboard slot 7,Normal Activity
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
cupsd shutdown succeeded,Normal Activity
jk2_init() Found child 1799 in scoreboard slot 7,Normal Activity
connection from 82.68.222.195 (82-68-222-195.dsl.in-addr.zen.co.uk) at Sun Jul 17 23:21:54 2005,Normal Activity
Session: 30546174_170246744 initialized by client WindowsUpdateAgent.,Normal Activity
jk2_init() Found child 1885 in scoreboard slot 9,Normal Activity
Failed to internally open package. [HRESULT = 0x800f0805 - CBS_E_INVALID_PACKAGE],Normal Activity
connection from 211.72.151.162 () at Mon Jul 18 03:26:48 2005,Normal Activity
virus scan detected malicious executable,Malware Activity
malware signature detected by security scanner,Malware Activity
connection from 212.65.68.82 () at Sat Jul 16 08:14:07 2005,Normal Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,Brute Force Attack
Invalid user inspur from 183.136.162.51,Brute Force Attack
"Read out cached package applicability for package: Package_for_KB3133977~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 112, CurrentState:112",Normal Activity
pam_unix(sshd:auth): check pass; user unknown,Brute Force Attack
error: Received disconnect from 103.99.0.122: 14: No more user authentication methods available. [preauth],Brute Force Attack
root privileges obtained by user user1,Privilege Escalation
reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!,Brute Force Attack
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005,Normal Activity
input_userauth_request: invalid user ubuntu [preauth],Brute Force Attack
jk2_init() Found child 1440 in scoreboard slot 8,Normal Activity
Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],Brute Force Attack
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,Brute Force Attack
pam_unix(sshd:auth): check pass; user unknown,Brute Force Attack
jk2_init() Found child 6738 in scoreboard slot 6,Normal Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
Session: 30546354_3007214183 initialized by client WindowsUpdateAgent.,Normal Activity
"Read out cached package applicability for package: Package_for_KB2957189~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 80, CurrentState:112",Normal Activity
Invalid user user from 103.99.0.122,Brute Force Attack
connection from 211.72.151.162 () at Wed Jul  6 18:00:56 2005,Normal Activity
Warning: Unrecognized packageExtended attribute.,Normal Activity
Session: 30546174_46439663 initialized by client WindowsUpdateAgent.,Normal Activity
Session: 30546354_2981802730 initialized by client WindowsUpdateAgent.,Normal Activity
virus scan detected malicious executable,Malware Activity
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
jk2_init() Found child 32676 in scoreboard slot 9,Normal Activity
"Read out cached package applicability for package: Package_for_KB3109560~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 112, CurrentState:112",Normal Activity
connection from 211.107.232.1 () at Sun Jul 24 13:46:34 2005,Normal Activity
malware activity detected in system file,Malware Activity
jk2_init() Found child 2866 in scoreboard slot 7,Normal Activity
notify question section contains no SOA,Normal Activity
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
Invalid user eoor from 187.141.143.180,Brute Force Attack
check pass; user unknown,Brute Force Attack
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=112.95.230.3  user=root,Brute Force Attack
Failed to internally open package. [HRESULT = 0x800f0805 - CBS_E_INVALID_PACKAGE],Normal Activity
Failed password for root from 183.62.140.253 port 35893 ssh2,Brute Force Attack
Session: 30546354_3306751316 initialized by client WindowsUpdateAgent.,Normal Activity
connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,Normal Activity
check pass; user unknown,Brute Force Attack
jk2_init() Found child 6601 in scoreboard slot 8,Normal Activity
"Loading offline registry hive: SYSTEM, into registry key '{bf1a281b-ad7b-4476-ac95-f47682990ce7}GLOBALROOT/Device/HarddiskVolumeShadowCopy2/Windows/System32/config/SYSTEM' from path '\\?\GLOBALROOT\Device\HarddiskVolumeShadowCopy2\Windows\System32\config\SYSTEM'.",Normal Activity
jk2_init() Found child 5480 in scoreboard slot 7,Normal Activity
ALERT exited abnormally with [1],Brute Force Attack
"Read out cached package applicability for package: Package_for_KB2893519~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112",Normal Activity
Session: 30546354_3338053106 initialized by client WindowsUpdateAgent.,Normal Activity
"Read out cached package applicability for package: Package_for_KB3185911~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112",Normal Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180,Brute Force Attack
notify question section contains no SOA,Normal Activity
session opened for user news by (uid=0),Normal Activity
jk2_init() Found child 1517 in scoreboard slot 7,Normal Activity
malware signature detected by security scanner,Malware Activity
sudo access used by unauthorized account admin,Privilege Escalation
malware activity detected in system file,Malware Activity
Received disconnect from 187.141.143.180: 11: Bye Bye [preauth],Brute Force Attack
jk2_init() Found child 4992 in scoreboard slot 7,Normal Activity
jk2_init() Found child 32754 in scoreboard slot 11,Normal Activity
Invalid user admin from 185.190.58.151,Brute Force Attack
jk2_init() Found child 4932 in scoreboard slot 6,Normal Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
"Read out cached package applicability for package: Package_for_KB3145739~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 112, CurrentState:112",Normal Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
malicious payload detected on system,Malware Activity
0000000a Performing 1 operations; 1 are not lock/unlock and follow:,Normal Activity
Session: 30546354_3202615360 initialized by client WindowsUpdateAgent.,Normal Activity
Invalid user test from 103.99.0.122,Brute Force Attack
Failed password for root from 183.62.140.253 port 43714 ssh2,Brute Force Attack
jk2_init() Found child 32720 in scoreboard slot 8,Normal Activity
Failed password for invalid user 0 from 5.188.10.180 port 49811 ssh2,Brute Force Attack
